symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,yahoo_symbol,yahoo_symbol_status,yahoo_symbol_checked_at,yahoo_symbol_note,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,asset_class,region_exposure,is_hedged,smai_theme_tags,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,nisa_growth_status,nisa_growth_verified,nisa_growth_as_of,nisa_growth_source,nisa_growth_eligible,nisa_tsumitate_status,nisa_tsumitate_verified,nisa_tsumitate_as_of,nisa_tsumitate_source,nisa_tsumitate_eligible,source_section,source_market,source_description,source_expense_ratio_pct,source_management_company,source_nisa_growth,source_url
AAOG,レバレッジシェアーズ2倍AAOIデイリーETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,true,false,index,index,AAOG;レバレッジシェアーズ2倍AAOIデイリーETF;アプライド オプトエレクトロニクス(AAOI)の日々の変動の２倍（200％）のレバレッジを効かせた日次の投資成果（手数料および費用の控除前）を追求する。;レバレッジシェアーズ;Cboe,none,,,,advanced,"index,trading",WARN,HIGH,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AAOG,generated,,,United States,Cboe,AAOG,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,"index,trading",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio;leveraged_or_inverse_etf,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,Cboe,アプライド オプトエレクトロニクス(AAOI)の日々の変動の２倍（200％）のレバレッジを効かせた日次の投資成果（手数料および費用の控除前）を追求する。,,レバレッジシェアーズ,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AAPD,Direxion デイリー AAPL 株 ベア1倍 ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,true,index,index,AAPD;Direxion デイリー AAPL 株 ベア1倍 ETF;アップル・インク (NASDAQ: AAPL)の普通株式の日々のパフォーマンスのインバース(又はオポジット)の100％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。;Direxion Investments;NASDAQ,none,,single_stock,,advanced,"index,trading",WARN,HIGH,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AAPD,generated,,,United States,NASDAQ,AAPD,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,"index,trading",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio;leveraged_or_inverse_etf;single_stock_etf,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,アップル・インク (NASDAQ: AAPL)の普通株式の日々のパフォーマンスのインバース(又はオポジット)の100％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。,,Direxion Investments,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AAPU,Direxion デイリー AAPL 株 ブル 2 倍 ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,true,false,index,index,AAPU;Direxion デイリー AAPL 株 ブル 2 倍 ETF;アップル・インク (NASDAQ: AAPL) の普通株式の日々のパフォーマンスの150％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。;Direxion Investments;NASDAQ,none,,single_stock,,advanced,"index,trading",WARN,HIGH,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AAPU,generated,,,United States,NASDAQ,AAPU,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,"index,trading",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio;leveraged_or_inverse_etf;single_stock_etf,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,アップル・インク (NASDAQ: AAPL) の普通株式の日々のパフォーマンスの150％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。,,Direxion Investments,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
ACWI,iシェアーズ MSCI ACWI ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,ACWI;iシェアーズ MSCI ACWI ETF;MSCI All Country World Indexの価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。;ブラックロック･ファンド・アドバイザーズ;NASDAQ,none,,acwi,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,ACWI,generated,,,United States,NASDAQ,ACWI,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,MSCI All Country World Indexの価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AFK,ヴァンエックベクトル アフリカ インデックス ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,AFK;ヴァンエックベクトル アフリカ インデックス ETF;アフリカ・インデックスETFは、ヴァンエック・ベクトルGDPアフリカ指数の価格と利回り（手数料と経費控除前）にできるだけ連動する運用実績を目指します。このインデックスは、アフリカに本社を置く、またはアフリカからの売上高が大半を占める上場企業へのエクスポージャーを提供します。したがって、当ファンドには同地域への投資リスクが伴います。;ヴァン・エック・グローバル;NYSE Arca,none,,,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AFK,generated,,,United States,NYSEARCA,AFK,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,africa,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,アフリカ・インデックスETFは、ヴァンエック・ベクトルGDPアフリカ指数の価格と利回り（手数料と経費控除前）にできるだけ連動する運用実績を目指します。このインデックスは、アフリカに本社を置く、またはアフリカからの売上高が大半を占める上場企業へのエクスポージャーを提供します。したがって、当ファンドには同地域への投資リスクが伴います。,,ヴァン・エック・グローバル,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AFRU,TRex 2倍 ロング AFRM デイリー ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,true,false,index,index,AFRU;TRex 2倍 ロング AFRM デイリー ETF;アファーム(NASDAQ:AFRM)の日々のパフォーマンスの200%の投資成果を目指す。;レックス・シェアーズ;Cboe,none,,single_stock,,advanced,"index,trading",WARN,HIGH,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AFRU,generated,,,United States,Cboe,AFRU,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,"index,trading",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio;leveraged_or_inverse_etf;single_stock_etf,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,Cboe,アファーム(NASDAQ:AFRM)の日々のパフォーマンスの200%の投資成果を目指す。,,レックス・シェアーズ,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AGG,iシェアーズ・コア 米国総合債券市場 ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,bond,index,AGG;iシェアーズ・コア 米国総合債券市場 ETF;ブルームバーグ・バークレイズ 米国総合インデックスに連動している。米国の投資適格債券市場全体のパフォーマンスを測る指標でドル建て固定金利、残存期間1年以上の債券で構成される。;ブラックロック･ファンド・アドバイザーズ;NYSE Arca,none,,bond,,standard,"index,bond",WARN,LOW,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AGG,generated,,,United States,NYSEARCA,AGG,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,bond,us,unknown,"index,bond",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,ブルームバーグ・バークレイズ 米国総合インデックスに連動している。米国の投資適格債券市場全体のパフォーマンスを測る指標でドル建て固定金利、残存期間1年以上の債券で構成される。,,ブラックロック･ファンド・アドバイザーズ,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AGGY,ウィズダムツリー 米国債券ファンド（利回り強化型）,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,bond,index,AGGY;ウィズダムツリー 米国債券ファンド（利回り強化型）;米ドル建てのハイイールド社債への投資を行いつつ、米国金利に対する感応度をネガティブにすることにより、高水準の利息等の収入を維持しつつ、金利上昇時により高いパフォーマンスの実現を可能にするファンド。;ウィズダムツリー・アセット・マネジメント;NYSE Arca,none,,bond,,standard,"index,bond",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AGGY,generated,,,United States,NYSEARCA,AGGY,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,bond,us,unknown,"index,bond",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,米ドル建てのハイイールド社債への投資を行いつつ、米国金利に対する感応度をネガティブにすることにより、高水準の利息等の収入を維持しつつ、金利上昇時により高いパフォーマンスの実現を可能にするファンド。,,ウィズダムツリー・アセット・マネジメント,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AIQ,グローバルX AI & ビッグデータETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,technology,index,AIQ;グローバルX AI & ビッグデータETF;Indxx・アーティフィシャル・インテリジェンス・アンド・ビッグデータ・インデックス（Indxx Artificial Intelligence and Big Data Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す;グローバルエックス・マネジメント;NASDAQ,none,,,,thematic,"index,technology",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AIQ,generated,,,United States,NASDAQ,AIQ,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,"index,technology",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,Indxx・アーティフィシャル・インテリジェンス・アンド・ビッグデータ・インデックス（Indxx Artificial Intelligence and Big Data Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す,,グローバルエックス・マネジメント,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AIRR,ファーストトラスト（FT）RBA 米国産業ルネサンスETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,AIRR;ファーストトラスト（FT）RBA 米国産業ルネサンスETF;米国上場資本財及び地域銀行セクターの中から中小型株を抽出して投資します。;ファーストトラスト;NASDAQ,none,,sector,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AIRR,generated,,,United States,NASDAQ,AIRR,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,米国上場資本財及び地域銀行セクターの中から中小型株を抽出して投資します。,,ファーストトラスト,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
