symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,yahoo_symbol,yahoo_symbol_status,yahoo_symbol_checked_at,yahoo_symbol_note,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,source_section,source_market,source_industry,source_description,source_url
00001.HK,長江和記(CKH) シーケー ハチソン,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00001;長江和記(CKH) シーケー ハチソン;公益事業;港湾事業;小売りを国際展開する;公益;港湾,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0001.HK,generated,,,Hong Kong,HKEX,00001,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,公益、港湾,公益事業、港湾事業、小売りを国際展開する,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00002.HK,中電控股 （CLP) シーエルピー ホールディングス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00002;中電控股 （CLP) シーエルピー ホールディングス;発電及び電力供給。国内及びアジアその他地区の電力プロジェクトへの投資。その他不動産開発;電力・ガス,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0002.HK,generated,,,Hong Kong,HKEX,00002,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,電力・ガス,発電及び電力供給。国内及びアジアその他地区の電力プロジェクトへの投資。その他不動産開発,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00003.HK,香港チャイナガス ホンコン チャイナガス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,utilities,utilities,00003;香港チャイナガス ホンコン チャイナガス;都市ガスの生産;供給及びガス関連事業;電力・ガス,none,,,,standard,utilities,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0003.HK,generated,,,Hong Kong,HKEX,00003,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,電力・ガス,都市ガスの生産、供給及びガス関連事業,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00004.HK,九龍倉 (ワーフ) ワーフ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,telecom,communication,00004;九龍倉 (ワーフ) ワーフ;不動産;埠頭;運輸;ホテル及び通信サービス;総合,none,,,,standard,communication,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0004.HK,generated,,,Hong Kong,HKEX,00004,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,総合,不動産、埠頭、運輸、ホテル及び通信サービス,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00005.HK,HSBC (匯豊控股) エイチエスビーシー,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,bank,financial,00005;HSBC (匯豊控股) エイチエスビーシー;アジア太平洋地域;ヨーロッパ;南北アメリカ;中東及びアフリカなど世界100カ国以上でビジネスを展開する英国系総合金融グループ;銀行,none,,,,standard,bank,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0005.HK,generated,,,Hong Kong,HKEX,00005,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,銀行,アジア太平洋地域、ヨーロッパ、南北アメリカ、中東及びアフリカなど世界100カ国以上でビジネスを展開する英国系総合金融グループ,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00006.HK,電能実業 パワー アセッツ ホールディングス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,utilities,utilities,00006;電能実業 パワー アセッツ ホールディングス;香港で発電及び電力供給事業を展開;電力・ガス,none,,,,standard,utilities,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0006.HK,generated,,,Hong Kong,HKEX,00006,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,電力・ガス,香港で発電及び電力供給事業を展開,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00007.HK,智富資源投資 ウィズダム ウェルス リソーシズ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,financial,financial,00007;智富資源投資 ウィズダム ウェルス リソーシズ;石油;天然ガスの採掘;生産。証券;投資ファンドなどの金融商品を対象としたブローカー業務;石油・金融,none,,,,standard,financial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0007.HK,generated,,,Hong Kong,HKEX,00007,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,石油・金融,石油、天然ガスの採掘、生産。証券、投資ファンドなどの金融商品を対象としたブローカー業務,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00008.HK,電訊盈科(PCCW) ピーシーシーダブリュ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,technology,technology,00008;電訊盈科(PCCW) ピーシーシーダブリュ;電信;インターネット及びマルチメディアサービス提供。関連器材の販売;レンタル及びその他テクニカルサポートも;通信,none,,,,standard,technology,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0008.HK,generated,,,Hong Kong,HKEX,00008,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,通信,電信、インターネット及びマルチメディアサービス提供。関連器材の販売、レンタル及びその他テクニカルサポートも,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00010.HK,ハンルングループ ハンルン グループ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00010;ハンルングループ ハンルン グループ;不動産開発・販売・賃貸。駐車場管理及び不動産管理の他クリーニングサービスも;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0010.HK,generated,,,Hong Kong,HKEX,00010,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産開発・販売・賃貸。駐車場管理及び不動産管理の他クリーニングサービスも,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00012.HK,ヘンダーソンラン ヘンダーソン ランド,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00012;ヘンダーソンラン ヘンダーソン ランド;不動産開発・投資・管理;建築・開発計画管理;ホテル経営;百貨店経営;資産投資及びインフラ;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0012.HK,generated,,,Hong Kong,HKEX,00012,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産開発・投資・管理、建築・開発計画管理、ホテル経営、百貨店経営、資産投資及びインフラ,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
