symbol,name,market,asset_type,currency,index_family,expense_ratio_pct,complexity,tags,nisa_category,investment_style,is_leveraged,is_inverse,aliases
AAPD,Direxion デイリー AAPL 株 ベア1倍 ETF,us,etf,USD,single_stock,0.95,inverse,,,lump_sum,false,true,Direxion デイリー AAPL 株 ベア1倍 ETF アップル・インク (NASDAQ: AAPL)の普通株式の日々のパフォーマンスのインバース(又はオポジット)の100％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。
AAPU,Direxion デイリー AAPL 株 ブル 2 倍 ETF,us,etf,USD,single_stock,0.95,leveraged,,,lump_sum,true,false,Direxion デイリー AAPL 株 ブル 2 倍 ETF アップル・インク (NASDAQ: AAPL) の普通株式の日々のパフォーマンスの150％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。
ACWI,iシェアーズ MSCI ACWI ETF,us,etf,USD,acwi,0.32,beginner,low_cost,growth,both,false,false,iシェアーズ MSCI ACWI ETF MSCI All Country World Indexの価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。
AFK,ヴァンエックベクトル アフリカ インデックス ETF,us,etf,USD,emerging,0.98,beginner,low_cost,growth,both,false,false,ヴァンエックベクトル アフリカ インデックス ETF アフリカ・インデックスETFは、ヴァンエック・ベクトルGDPアフリカ指数の価格と利回り（手数料と経費控除前）にできるだけ連動する運用実績を目指します。このインデックスは、アフリカに本社を置く、またはアフリカからの売上高が大半を占める上場企業へのエクスポージャーを提供します。したがって、当ファンドには同地域への投資リスクが伴います。
AFRU,TRex 2倍 ロング AFRM デイリー ETF,us,etf,USD,single_stock,1.50,leveraged,,,lump_sum,true,false,TRex 2倍 ロング AFRM デイリー ETF アファーム(NASDAQ:AFRM)の日々のパフォーマンスの200%の投資成果を目指す。
AGG,iシェアーズ・コア 米国総合債券市場 ETF,us,etf,USD,bond,0.03,beginner,low_cost,,both,false,false,iシェアーズ・コア 米国総合債券市場 ETF ブルームバーグ・バークレイズ 米国総合インデックスに連動している。米国の投資適格債券市場全体のパフォーマンスを測る指標でドル建て固定金利、残存期間1年以上の債券で構成される。
AGGY,ウィズダムツリー 米国債券ファンド（利回り強化型）,us,etf,USD,bond,0.12,beginner,low_cost,,both,false,false,ウィズダムツリー 米国債券ファンド（利回り強化型） 米ドル建てのハイイールド社債への投資を行いつつ、米国金利に対する感応度をネガティブにすることにより、高水準の利息等の収入を維持しつつ、金利上昇時により高いパフォーマンスの実現を可能にするファンド。
AIQ,グローバルX AI & ビッグデータETF,us,etf,USD,sector,0.68,beginner,low_cost,growth,both,false,false,グローバルX AI & ビッグデータETF Indxx・アーティフィシャル・インテリジェンス・アンド・ビッグデータ・インデックス（Indxx Artificial Intelligence and Big Data Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す
AIRR,ファーストトラスト（FT）RBA 米国産業ルネサンスETF,us,etf,USD,small_us,0.70,beginner,low_cost,growth,both,false,false,ファーストトラスト（FT）RBA 米国産業ルネサンスETF 米国上場資本財及び地域銀行セクターの中から中小型株を抽出して投資します。
AIPI,REX AI エクイティ プレミアム インカムETF,us,etf,USD,style_factor,0.65,beginner,low_cost,,both,false,false,REX AI エクイティ プレミアム インカムETF 純資産の少なくとも80%を、BITA AI・リーダーズ・セレクト指数（BITA AI Leaders Select Index）を構成する証券に投資。
